no,configuration,wave_air,wave_vac,Ei,Ek,gi-gk,Aki,fik,S,loggf,Acc,source
57,2-20,3 682.78,3 683.83,82 259.163,109 404.849,8-800,2.1719e-05,4.4187e-04,4.2871e-02,-2.451 61,AAA,4
58,2-21,3 679.32,3 680.37,82 259.163,109 430.341,8-882,1.7005e-05,3.8070e-04,3.6902e-02,-2.51632,AAA,4
59,2-22,3 676.33,3 677.38,82 259.163,109 452.437,8-968,1.3467e-05,3.3036e-04,3.1996e-02,-2.577 92,AAA,4
60,2-23,3 673.73,3 674.78,82 259.163,109 471.713,8-1058,1.0777e-05,2.8854e-04,2.7926e-02,-2.636 70,AAA,4
61,2-24,3 671.45,3 672.49,82 259.163,109 488.631,8-1152,8.7069e-06,2.5352e-04,2.4521e-02,-2.692 90,AAA,4
62,2-25,3 669.43,3 670.48,82 259.163,109 503.559,8-1250,7.0963e-06,2.2395e-04,2.1649e-02,-2.746 76,AAA,4
63,2-26,3 667.65,3 668.70,82 259.163,109 516.798,8-1352,5.8304e-06,1.9882e-04,1.9211e-02,-2.798 45,AAA,4
64,2-27,3 666.07,3 667.11,82 259.163,109 528.594,8-1458,4.8261e-06,1.7732e-04,1.7126e-02,-2.848 14,AAA,4
65,2-28,3 664.65,3 665.69,82 259.163,109 539.149,8-1568,4.0224e-06,1.5882e-04,1.5333e-02,-2.896 00,AAA,4
66,2-29,3 663.37,3 664.42,82 259.163,109 548.630,8-1682,3.3742e-06,1.4281e-04,1.3783e-02,-2.942 14,AAA,4
67,2-30,3 662.23,3 663.27,82 259.163,109 557.179,8-1800,2.8474e-06,1.2889e-04,1.2435e-02,-2.986 69,AAA,4
68,2-31,3 661.19,3 662.23,82 259.163,109 564.915,8-1922,2.4162e-06,1.1672e-04,1.1258e-02,-3.029 76,ААА,4
69,2-32,3 660.25,3 661.29,82 259.163,109 571.936,8-2048,2.0612e-06,1.0604e-04,1.0225e-02,-3.071 43,AAA,4
70,2-33,3 659.39,3 660.43,82 259.163,109 578.329,8-2178,1.7669e-06,9.6627e-05,9.3153e-03,-3.111 81,AAA,4
71,2-34,3 658.61,3 659.65,82 259.163,109 584.167,8-2312,1.5216e-06,8.8297e-05,8.5104e-03,-3.15097,AAA,4
72,2-35,3 657.89,3 658.94,82 259.163,109 589.511,8-2450,1.3161e-06,8.0898e-05,7.7958e-03,-3.188 97,AAA,4
73,2-36,3 657.24,3 658.28,82 259.163,109 594.416,8-2592,1.1430e-06,7.4305e-05,7.1591e-03,-3.225 89,AAA,4
74,2-37,3 656.63,3 657.68,82 259.163,109 598.928,8-2738,9.9657e-07,6.8410e-05,6.5901e-03,-3.261 79,AAA,4
75,2-38,3 656.08,3 657.12,82 259.163,109 603.089,8-2888,8.7206e-07,6.3123e-05,6.0799e-03,-3.296 72,ААА,4
76,2-39,3 655.56,3 656.61,82 259.163,109 606.935,8-3042,7.6576e-07,5.8368e-05,5.6211e-03,-3.330 73,AAA,4
77,2-40,3 655.09,3 656.13,82 259.163,109 610.495,8-3200,6.7464e-07,5.4079e-05,5.2074e-03,-3.363 88,AAA,4
78,3-4,18 751.0,5 331.596 cm-1,97 492.283,102 823.879,18-32,8.9860e-02,8.4254e-01,9.3644e+02,1.180 86,AAA,4
79,3-5,12 818.1,7 799.361 cm-¹,97 492.283,105 291.644,18-50,2.2008e-02,1.5066e-01,1.1447e+02,0.433 28,AAA,4
80,3-6,10 938.1,9 139.875 cm-¹,97 492.283,106 632.158,18-72,7.7829e-03,5.5870e-02,3.6223e+01,0.002 45,AAA,4
81,3-7,10 049.4,9948.161 cm-1,97 492.283,107 440.444,18-98,3.3585e-03,2.7700e-02,1.6500e+01,-0.302 25,AAA,4
82,3-8,9 545.70,9 548.32,97 492.283,107 965.326,18-128,1.6506e-03,1.6044e-02,9.0777e+00,-0.539 43,AAA,4
83,3-9,9 228.77,9 231.30,97 492.283,108 324.995,18-162,8.9050e-04,1.0239e-02,5.6011e+00,-0.734 47,AAA,4
84,3-10,9 014.67,9 017.15,97 492.283,108 582.265,18-200,5.1558e-04,6.9831e-03,3.7313e+00,-0.900 68,AAA,4
85,3-11,8 862.55,8 864.99,97 492.283,108 772.615,18-242,3.1558e-04,4.9988e-03,2.6260e+00,-1.045 86,AAA,4
86,3-12,8 750.25,8 752.65,97 492.283,108 917.392,18-288,2.0207e-04,3.7133e-03,1.9260e+00,-1.17497,AAA,4
87,3-13,8 664.80,8 667.18,97 492.283,109 030.062,18-338,1.3431e-04,2.8402e-03,1.4587e+00,-1.291 38,AAA,4
88,3-14,8 598.18,8 600.54,97 492.283,109 119.463,18-392,9.2117e-05,2.2246e-03,1.1338e+00,-1.397 47,AAA,4
89,3-15,8 545.17,8 547.52,97 492.283,109 191.587,18-450,6.4901e-05,1.7772e-03,9.0015e-01,-1.495 00,AAA,4
90,3-16,8 502.27,8 504.61,97 492.283,109 250.615,18-512,4.6801e-05,1.4435e-03,7.2748e-01,-1.585 31,AAA,4
91,3-17,8 467.04,8 469.37,97 492.283,109 299.536,18-578,3.4442e-05,1.1893e-03,5.9690e-01,-1.669 43,AAA,4
92,3-18,8 437.75,8 440.07,97 492.283,109 340.532,18-648,2.5804e-05,9.9207e-04,4.9618e-01,-1.748 19,AAA,4
93,3-19,8 413.11,8 415.42,97 492.283,109 375.227,18-722,1.9643e-05,8.3653e-04,4.1716e-01,-1.822 25,AAA,4
94,3-20,8 392.19,8 394.50,97 492.283,109 404.849,18-800,1.5167e-05,7.1215e-04,3.5426e-01,-1.892 15,AAA,4
95,4-5,40 511.4,2 467.765 cm¯,102 823.879,105 291.644,32-50,2.6993e-02,1.0383e+00,4.4324e+03,1.521 46,AAA,4
96,4-6,26 251.4,3 808.279 cm,102 823.879,106 632.158,32-72,7.7110e-03,1.7935e-01,4.9613e+02,0.758 84,AAA,4
97,4-7,21 655.2,4616.565 cm,102 823.879,107 440.444,32-98,3.0415e-03,6.5521e-02,1.4952e+02,0.321 53,AAA,4
98,4-8,19 444.5,5 141.448 cm,102 823.879,107 965.327,32-128,1.4242e-03,3.2309e-02,6.6201e+01,0.014 47,AAA,4
99,4-9,18 173.2,5 501.117 cm,102 823.879,108 324.996,32-162,7.4593e-04,1.8708e-02,3.5826e+01,-0.222 83,AAA,4
100,4-10,17 361.2,5 758.386 cm,102 823.879,108 582.265,32-200,4.2347e-04,1.1966e-02,2.1892e+01,-0.416 89,AAA,4
101,4-11,16 805.7,5 948.737 cm,102 823.879,108 772.616,32-242,2.5565e-04,8.1908e-03,1.4505e+01,-0.581 52,AAA,4
102,4-12,16 406.4,6093.513 cm,102 823.879,108 917.392,32-288,1.6205e-04,5.8887e-03,1.0181e+01,-0.724 83,AAA,4
103,4-13,16 108.6,6 206.184 cm,102 823.879,109 030.063,32-338,1.0689e-04,4.3945e-03,7.4595e+00,-0.851 94,ААА,4
104,4-14,15 879.8,6295.584 cm,102 823.879,109 119.463,32-392,7.2879e-05,3.3769e-03,5.6508e+00,-0.966 33,AAA,4
105,4-15,15 699.9,6 367.708 cm,102 823.879,109 191.587,32-450,5.1106e-05,2.6572e-03,4.3961e+00,-1.070 42,AAA,4
106,4-16,15 555.7,6 426.736 cm,102 823.879,109 250.615,32-512,3.6714e-05,2.1322e-03,3.4952e+00,-1.166 02,AAA,4
107,4-17,15 438.2,6475.657 cm,102 823.879,109 299.536,32-578,2.6935e-05,1.7393e-03,2.8296e+00,-1.254 47,ААА,4
108,4-18,15 341.1,6516.653 cm,102 823.879,109 340.532,32-648,2.0128e-05,1.4389e-03,2.3261e+00,-1.336 82,AAA,4
109,4-19,15 259.9,6551.348 cm,102 823.879,109 375.227,32-722,1.5289e-05,1.2049e-03,1.9376e+00,-1.413 89,AAA,4
110,4-20,15 191.2,6 580.970 cm,102 823.879,109 404.849,32-800,1.1784e-05,1.0198e-03,1.6324e+00,-1.486 35,AAA,4
111,5-6,,1 340.514 cm,105 291.644,106 632.158,50-72,1.0254e-02,1.2319e+00,1.5127e+04,1.789 54,AAA,4
112,5-7,46 524.9,2 148.800 cm,105 291.644,107 440.444,50-98,3.2528e-03,2.0700e-01,1.5857e+03,1.014 94,AAA,4
113,5-8,37 391.4,2 673.684 cm,105 291.644,107 965.328,50-128,1.3877e-03,7.4503e-02,4.5868e+02,0.571 15,ААА,4
114,5-9,32 957.8,3 033.353 cm,105 291.644,108 324.997,50-162,6.9078e-04,3.6467e-02,1.9789e+02,0.260 87,AAA,4
115,5-10,30 381.1,3 290.622 cm,105 291.644,108 582.266,50-200,3.7999e-04,2.1044e-02,1.0527e+02,0.022 11,ААА,4
116,5-11,28 719.8,3 480.972 cm,105 291.644,108 772.616,50-242,2.2460e-04,1.3450e-02,6.3599e+01,-0.172 32,AAA,4
117,5-12,27 573.0,3 625.749 cm,105 291.644,108 917.393,50-288,1.4024e-04,9.2122e-03,4.1823e+01,-0.336 66,ААА,4
118,5-13,26 742.0,3 738.419 cm,105 291.644,109 030.063,50-338,9.1481e-05,6.6338e-03,2.9209e+01,-0.479 27,AAA,4
119,5-14,26 117.4,3827.819 cm,105 291.644,109 119.463,50-392,6.1848e-05,4.9613e-03,2.1335e+01,-0.605 44,AAA,4
120,5-15,25 634.4,3 899.943 cm,105 291.644,109 191.587,50-450,4.3084e-05,3.8221e-03,1.6132e+01,-0.718 73,AAA,4
121,5-16,25 252.2,3 958.971 cm,105 291.644,109 250.615,50-512,3.0788e-05,3.0156e-03,1.2538e+01,-0.821 66,AAA,4
122,5-17,24 944.0,4007.892 cm,105 291.644,109 299.536,50-578,2.2490e-05,2.4265e-03,9.9656e+00,-0.916 06,AAA,4
123,5-18,24 691.4,4048.888 cm,105 291.644,109 340.532,50-648,1.6747e-05,1.9849e-03,8.0694e+00,-1.003 30,AAA,4
124,5-19,24 481.6,4083.583 cm,105 291.644,109 375.227,50-722,1.2683e-05,1.6465e-03,6.6371e+00,-1.084 46,ААА,4
125,5-20,24 305.3,4113.205 cm,105 291.644,109 404.849,50-800,9.7511e-06,1.3825e-03,5.5327e+00,-1.160 36,ААА,4
